공연명,장르,공연시설
고두영의 키즈 매직쇼,서커스/마술,더퍼포머 씨어터(라스플로레스) 
요리하는 마술사,서커스/마술,부천소극장 
요리하는 마술사,서커스/마술,별빛극장 [남양주] 
Piano Trio Concert,대중음악,entry55 [사당] 
오마이갓,연극,오마이갓 전용관 
핫식스,연극,도토리씨어터 
너의 목소리가 들려,연극,도토리씨어터 
영재한음 (국악) 회,한국음악(국악),남산골한옥마을 
Special GIG,대중음악,entry55 [사당] 
햇님이 달님이,뮤지컬,소극장 쇠내골 
김종욱 찾기,뮤지컬,브릭스씨어터 (구. 콘텐츠 그라운드 구. 브로드웨이아트홀 [3관]) 
The entry to JAZZ,대중음악,entry55 [사당] 
1미터마술공연,서커스/마술,1미터마술 
로멘틱 홀리데이 매직쇼,서커스/마술,문엔트리 
아기돼지야 준비해!,뮤지컬,소극장 쇠내골 
늘근도둑이야기,연극,아트포레스트 아트홀 
VIP 매직쇼,서커스/마술,문엔트리 
스위치,연극,아스가르드 씨어터 (구. 낙산씨어터) 
행오버,연극,"정극장 (구. M시어터, 구.하모니아트홀) "
스크루테이프의 편지,뮤지컬,북촌나래홀 
반짝반짝 인어공주,뮤지컬,달밤엔씨어터 
프리즌,뮤지컬,에이치씨어터 
운빨로맨스,연극,컬쳐씨어터(구. 휴먼시어터) 
빌의 구둣방,뮤지컬,소극장 쇠내골 
한뼘사이,연극,라온아트홀 
연극라면,연극,해피씨어터 
자취,연극,댕로홀 
해녀의 부엌: 해녀이야기,연극,해녀의부엌 
끝까지 간다,연극,북극곰소극장(구.아뮤스소극장) 
북극곰 예술여행,연극,북극곰소극장(구.아뮤스소극장) 
요리하는 마술사,서커스/마술,맛있는 극장 
빨간모자야 조심해!,뮤지컬,소극장 쇠내골 
택시안에서,연극,해바라기소극장 [부산] 
택시안에서,연극,해바라기소극장 (구. 훈아트홀) 
뷰티풀라이프,연극,JTN 아트홀(구. 대학로예술마당) 
시간을 파는 상점,연극,"파랑씨어터 (구. 도향아트홀, 구. 뮤디스홀) "
옥탑방 고양이,연극,틴틴홀 
